"ID","Category","Name","Severity","Result","Recommended","TestResult","SeverityFinding"
"1000","Features","SMBv1 Support","Passed","Feature is not installed","",,""
"1100","Account Policies","Account lockout threshold","Passed","Account policy set","","Passed",""
"1101","Account Policies","Account lockout duration","Passed","Account policy set","","Passed",""
"1102","Account Policies","Reset account lockout counter","Passed","Account policy set","","Passed",""
"1103","Account Policies","Store passwords using reversible encryption","Passed","Imported security policy into temporary database","","Passed",""
"1103","Account Policies","Store passwords using reversible encryption","Passed","Configured security policy","","Passed",""
"1200","User Rights Assignment","Access this computer from the network","Passed","Imported user right assignment into temporary database","","Passed",""
"1200","User Rights Assignment","Access this computer from the network","Passed","Configured system user right assignment","","Passed",""
"1201","User Rights Assignment","Allow log on locally","Passed","Imported user right assignment into temporary database","","Passed",""
"1201","User Rights Assignment","Allow log on locally","Passed","Configured system user right assignment","","Passed",""
"1202","User Rights Assignment","Debug programs","Passed","Imported user right assignment into temporary database","","Passed",""
"1202","User Rights Assignment","Debug programs","Passed","Configured system user right assignment","","Passed",""
"1203","User Rights Assignment","Deny access to this computer from the network","Passed","Imported user right assignment into temporary database","","Passed",""
"1203","User Rights Assignment","Deny access to this computer from the network","Passed","Configured system user right assignment","","Passed",""
"1204","User Rights Assignment","Deny log on as a batch job","Passed","Imported user right assignment into temporary database","","Passed",""
"1204","User Rights Assignment","Deny log on as a batch job","Passed","Configured system user right assignment","","Passed",""
"1205","User Rights Assignment","Deny log on as a service","Passed","Imported user right assignment into temporary database","","Passed",""
"1205","User Rights Assignment","Deny log on as a service","Passed","Configured system user right assignment","","Passed",""
"1206","User Rights Assignment","Deny log on through Remote Desktop Services","Passed","Imported user right assignment into temporary database","","Passed",""
"1206","User Rights Assignment","Deny log on through Remote Desktop Services","Passed","Configured system user right assignment","","Passed",""
"1300","Security Options","Accounts: Block Microsoft accounts","Passed","Registry value created/modified","","Passed",""
"1301","Security Options","Audit: Force audit policy subcategory settings to override audit policy category settings","Passed","Registry value created/modified","","Passed",""
"1305","Security Options","Microsoft network client: Digitally sign communications (always)","Passed","Registry value created/modified","","Passed",""
"1306","Security Options","Microsoft network client: Digitally sign communications (if server agrees)","Passed","Registry value created/modified","","Passed",""
"1307","Security Options","Microsoft network server: Digitally sign communications (always)","Passed","Registry value created/modified","","Passed",""
"1308","Security Options","Microsoft network server: Digitally sign communications (if client agrees)","Passed","Registry value created/modified","","Passed",""
"1309","Security Options","Network access: Do not allow anonymous enumeration of SAM accounts","Passed","Registry value created/modified","","Passed",""
"1310","Security Options","Network access: Do not allow anonymous enumeration of SAM accounts and shares","Passed","Registry value created/modified","","Passed",""
"1311","Security Options","Network access: Do not allow storage of passwords and credentials for network authentication","Passed","Registry value created/modified","","Passed",""
"1312","Security Options","Network security: Allow LocalSystem NULL session fallback","Passed","Registry value created/modified","","Passed",""
"1313","Security Options","Network security: LAN Manager authentication level","Passed","Registry value created/modified","","Passed",""
"1314","Security Options","Network security: LDAP client signing requirements","Passed","Registry value created/modified","","Passed",""
"1315","Security Options","Network security: Minimum session security for NTLM SSP based (including secure RPC) clients","Passed","Registry value created/modified","","Passed",""
"1316","Security Options","Network security: Minimum session security for NTLM SSP based (including secure RPC) servers","Passed","Registry value created/modified","","Passed",""
"1317","Security Options","Network security: Restrict NTLM: Audit Incoming NTLM Traffic","Passed","Registry value created/modified","","Passed",""
"1318","Security Options","Network security: Restrict NTLM: Audit NTLM authentication in this domain","Passed","Registry value created/modified","","Passed",""
"1319","Security Options","Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers","Passed","Registry value created/modified","","Passed",""
"1320","Security Options","Shutdown: Allow system to be shut down without having to log on","Passed","Registry value created/modified","","Passed",""
"1321","Security Options","User Account Control: Admin Approval Mode for the Built-in Administrator account","Passed","Registry value created/modified","","Passed",""
"1322","Security Options","User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode","Passed","Registry value created/modified","","Passed",""
"1323","Security Options","User Account Control: Behavior of the elevation prompt for standard users","Passed","Registry value created/modified","","Passed",""
"1324","Security Options","Network access: Restrict anonymous access to Named Pipes and Shares","Passed","Registry value created/modified","","Passed",""
"1325","Security Options","Network access: Restrict clients allowed to make remote calls to SAM","Passed","Registry value created/modified","","Passed",""
"1326","Security Options","Network security: Do not store LAN Manager hash value on next password change","Passed","Registry value created/modified","","Passed",""
"1400","Windows Firewall","EnableFirewall (Domain Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1401","Windows Firewall","Inbound Connections (Domain Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1402","Windows Firewall","Outbound Connections (Domain Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1403","Windows Firewall","Log size limit (Domain Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1404","Windows Firewall","Log dropped packets (Domain Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1405","Windows Firewall","Log successful connections (Domain Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1406","Windows Firewall","EnableFirewall (Private Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1407","Windows Firewall","Inbound Connections (Private Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1408","Windows Firewall","Outbound Connections (Private Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1409","Windows Firewall","Log size limit (Private Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1410","Windows Firewall","Log dropped packets (Private Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1411","Windows Firewall","Log successful connections (Private Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1412","Windows Firewall","EnableFirewall (Public Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1413","Windows Firewall","Inbound Connections (Public Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1414","Windows Firewall","Outbound Connections (Public Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1415","Windows Firewall","Log size limit (Public Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1416","Windows Firewall","Log dropped packets (Public Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1417","Windows Firewall","Log successful connections (Public Profile, Policy)","Passed","Registry value created/modified","","Passed",""
"1418","Windows Firewall","EnableFirewall (Domain Profile)","Passed","Registry value created/modified","","Passed",""
