

--------------------------------------------------------------------------------

Logging Started...
[2/19/2017] [12:06:28.900] [00304]  PeerBlock Starting
[2/19/2017] [12:06:28.901] [00304]  PeerBlock 1.2
[2/19/2017] [12:06:28.901] [00304]  Flushed tracelog
[2/19/2017] [12:06:28.901] [00304]  Running on OS: UNKNOWN OS 6.3 64-bit - Build:[9600], SP:[0.0]
[2/19/2017] [12:06:28.901] [00304]  User running as Admin
[2/19/2017] [12:06:28.901] [00304]  Created program mutex
[2/19/2017] [12:06:28.904] [00304]  Initialized common controls
[2/19/2017] [12:06:28.904] [00304]  Registered color picker
[2/19/2017] [12:06:28.905] [00304]  Initialized winsock
[2/19/2017] [12:06:28.905] [00304]  Successfully PreventSetUnhandledExceptionFilter()
[2/19/2017] [12:06:28.905] [00304]  Creating main UI window
[2/19/2017] [12:06:28.911] [00304]  [mainproc] [Main_OnInitDialog]  > Entering routine.
[2/19/2017] [12:06:28.911] [00304]  [mainproc] [Main_OnInitDialog]    loading config
[2/19/2017] [12:06:28.912] [00304]  [Configuration] [Load]  > Entering routine.
[2/19/2017] [12:06:28.912] [00304]  [Configuration] [LoadFile]    loading file:[F:\Portable Apps\PeerBlockPortable\App\PeerBlock\Modern64\peerblock.conf]
[2/19/2017] [12:06:28.912] [00304]  [Configuration] [LoadFile]  * Error:  Can't open file
[2/19/2017] [12:06:28.912] [00304]  [Configuration] [LoadFile]    - err:[2], desc:[The system cannot find the file specified.
]
[2/19/2017] [12:06:28.912] [00304]  [Configuration] [Load]    WARNING:  Unable to load configuration file [F:\Portable Apps\PeerBlockPortable\App\PeerBlock\Modern64\peerblock.conf]
[2/19/2017] [12:06:28.912] [00304]  [Configuration] [LoadFile]    loading file:[F:\Portable Apps\PeerBlockPortable\App\PeerBlock\Modern64\peerblock.conf.bak]
[2/19/2017] [12:06:28.912] [00304]  [Configuration] [LoadFile]  * Error:  Can't open file
[2/19/2017] [12:06:28.912] [00304]  [Configuration] [LoadFile]    - err:[2], desc:[The system cannot find the file specified.
]
[2/19/2017] [12:06:28.912] [00304]  [Configuration] [Load]    WARNING:  Unable to load configuration file [F:\Portable Apps\PeerBlockPortable\App\PeerBlock\Modern64\peerblock.conf.bak]
[2/19/2017] [12:06:28.913] [00304]  [Configuration] [LoadFile]    loading file:[F:\Portable Apps\PeerBlockPortable\App\PeerBlock\Modern64\pg2.conf]
[2/19/2017] [12:06:28.913] [00304]  [Configuration] [LoadFile]  * Error:  Can't open file
[2/19/2017] [12:06:28.913] [00304]  [Configuration] [LoadFile]    - err:[2], desc:[The system cannot find the file specified.
]
[2/19/2017] [12:06:28.913] [00304]  [Configuration] [Load]    WARNING:  Unable to load configuration file [F:\Portable Apps\PeerBlockPortable\App\PeerBlock\Modern64\pg2.conf]
[2/19/2017] [12:06:28.913] [00304]  [Configuration] [Load]    ERROR:  No configuration file loaded!
[2/19/2017] [12:06:28.913] [00304]  [mainproc] [Main_OnInitDialog]    displaying first-time wizard
[2/19/2017] [12:06:31.230] [00304]  [Configuration] [Save]  > Entering routine.
[2/19/2017] [12:06:31.674] [00304]  [Configuration] [Save]  < Leaving routine.
[2/19/2017] [12:06:31.674] [00304]  [mainproc] [Main_OnInitDialog]    resetting g_filter
[2/19/2017] [12:06:31.675] [00304]  [driver] [load(2)]    preparing to load driver - name: [pbfilter], file: [\??\F:\Portable Apps\PeerBlockPortable\App\PeerBlock\Modern64\pbfilter.sys]
[2/19/2017] [12:06:31.675] [00304]  [driver] [load(3)]    loading driver - name: [pbfilter], file: [\??\F:\Portable Apps\PeerBlockPortable\App\PeerBlock\Modern64\pbfilter.sys], devfile: [\\.\pbfilter]
[2/19/2017] [12:06:31.699] [00304]  [driver] [load(3)]    driver-service not running
[2/19/2017] [12:06:31.699] [00304]  [driver] [load(3)]    - service state: [1]
[2/19/2017] [12:06:31.700] [00304]  [driver] [start]    starting driver
[2/19/2017] [12:06:31.710] [00304]  [driver] [start]    getting handle to driver - devfile: [\\.\pbfilter]
[2/19/2017] [12:06:31.710] [00304]  [driver] [start]    started driver
[2/19/2017] [12:06:31.769] [00304]  [pbfilter_base] [start_thread]    creating thread_thunk
[2/19/2017] [12:06:31.773] [00304]  [mainproc] [Main_OnInitDialog]    g_filter reset.
[2/19/2017] [12:06:31.773] [00304]  [mainproc] [Main_OnInitDialog]    setting block, forcing to Enabled
[2/19/2017] [12:06:31.774] [00304]  [mainproc] [SetBlock]   setting PeerBlock blocking from [1] to [1]
[2/19/2017] [12:06:31.774] [00304]  [pbfilter_base] [setblock]    acquiring lock
[2/19/2017] [12:06:31.775] [00304]  [pbfilter_base] [setblock]    resetting m_block to: [true]
[2/19/2017] [12:06:31.776] [00304]  [pbfilter_base] [setblock]    sending block request to driver...
[2/19/2017] [12:06:31.776] [00304]  [pbfilter_base] [setblock]    ...block request sent
[2/19/2017] [12:06:31.776] [00304]  [pbfilter_base] [setblock]    mutex leaving scope; releasing lock
[2/19/2017] [12:06:31.778] [00304]  [pbfilter_base] [setdestinationports]  > Entering routine.
[2/19/2017] [12:06:31.779] [00304]  [pbfilter_base] [setdestinationports]    finished parsing ports
[2/19/2017] [12:06:31.779] [00304]  [pbfilter_base] [setdestinationports]  < Leaving Routine.
[2/19/2017] [12:06:31.779] [00304]  [pbfilter_base] [setsourceports]  > Entering routine.
[2/19/2017] [12:06:31.779] [00304]  [pbfilter_base] [setsourceports]    finished parsing ports
[2/19/2017] [12:06:31.779] [00304]  [pbfilter_base] [setsourceports]  < Leaving Routine.
[2/19/2017] [12:06:31.779] [00304]  [mainproc] [Main_OnInitDialog]    getting tabs
[2/19/2017] [12:06:31.847] [00304]  [LogProc] [Log_OnInitDialog]    updating status
[2/19/2017] [12:06:31.848] [00304]  [LogProc] [UpdateStatus]    g_config.LastUpdate: [false]
[2/19/2017] [12:06:31.962] [00304]  [LogProc] [UpdateStatus]    g_config.LastUpdate: [false]
[2/19/2017] [12:06:31.963] [00304]  [mainproc] [Main_OnInitDialog]    doing other stuff
[2/19/2017] [12:06:32.001] [00304]  [Main_DlgProc]    received WM_MAIN_VISIBLE message
[2/19/2017] [12:06:32.001] [00304]  [Main_OnVisible]  > Entering routine.
[2/19/2017] [12:06:32.001] [00304]  [Main_OnVisible]    visible:[TRUE]
[2/19/2017] [12:06:32.001] [00304]  [Main_OnVisible]    index != [-1], showing window based on tab
[2/19/2017] [12:06:32.001] [00304]  [Main_OnVisible]    showing window (SH_SHOW)
[2/19/2017] [12:06:32.003] [00304]  [Main_OnVisible]    checking for g_trayactive and g_config.StayHidden
[2/19/2017] [12:06:32.003] [00304]  [Main_OnVisible]  < Leaving routine.
[2/19/2017] [12:06:32.010] [00304]  [mainproc] [Main_OnInitDialog]    updating at startup
[2/19/2017] [12:06:32.010] [00304]  [UpdateLists]  > Entering routine.
[2/19/2017] [12:06:32.010] [00304]  [UpdateLists]    g_updater null, found parent, creating dialog-box
[2/19/2017] [12:06:32.022] [00304]  [UpdateLists_OnInitDialog]  > Entering routine.
[2/19/2017] [12:06:32.023] [00304]  [UpdateLists_OnInitDialog]    spawning updatethread
[2/19/2017] [12:06:32.023] [00304]  [UpdateThread] [UpdateThread]    created thread class
[2/19/2017] [12:06:32.023] [00304]  [UpdateThread] [UpdateThread]    destroyed thread class
[2/19/2017] [12:06:32.024] [00304]  [UpdateLists_OnInitDialog]  < Leaving routine.
[2/19/2017] [12:06:32.030] [01392]  [UpdateThread] [_Process]    updating peerblock
